Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (52.4053005, 4.9199903)","Metro/Tram Stop (52.2745937, 4.8307936)",193.48440383144074
"Bus Stop (52.4133277, 4.9112884)","Metro/Tram Stop (52.2745937, 4.8307936)",1241.025606223811
"Bus Stop (52.3852901, 4.9182278)","Metro/Tram Stop (52.2745937, 4.8307936)",402.9494343604492
"Bus Stop (52.4057722, 4.9223155)","Metro/Tram Stop (52.2745937, 4.8307936)",135.68863583026834
"Bus Stop (52.3442105, 4.8275037)","Metro/Tram Stop (52.2745937, 4.8307936)",338.8623515013176
"Bus Stop (52.3551342, 4.8272646)","Metro/Tram Stop (52.2745937, 4.8307936)",298.4432967875828
"Bus Stop (52.4061889, 4.9220004)","Metro/Tram Stop (52.2745937, 4.8307936)",185.0206416496848
"Bus Stop (52.3693684, 4.8444112)","Metro/Tram Stop (52.2745937, 4.8307936)",21.326490061120353
"Bus Stop (52.3771934, 4.8464234)","Metro/Tram Stop (52.2745937, 4.8307936)",88.89132455874712
"Bus Stop (52.394585, 4.9285119)","Metro/Tram Stop (52.2745937, 4.8307936)",730.0763180336435
"Bus Stop (52.4057077, 4.9111696)","Metro/Tram Stop (52.2745937, 4.8307936)",785.8907811291272
"Bus Stop (52.386261, 4.9226567)","Metro/Tram Stop (52.2745937, 4.8307936)",314.01594213395276
"Bus Stop (52.4058388, 4.920234)","Metro/Tram Stop (52.2745937, 4.8307936)",212.90383698548905
"Bus Stop (52.3874889, 4.9117219)","Metro/Tram Stop (52.2745937, 4.8307936)",453.36702487774426
"Bus Stop (52.3880506, 4.9136491)","Metro/Tram Stop (52.2745937, 4.8307936)",353.53749030830085
"Bus Stop (52.3692575, 4.8444892)","Metro/Tram Stop (52.2745937, 4.8307936)",32.06871423362315
"Bus Stop (52.389101, 4.9251275)","Metro/Tram Stop (52.2745937, 4.8307936)",115.7650555934668
"Bus Stop (52.394865, 4.9288408)","Metro/Tram Stop (52.2745937, 4.8307936)",765.7516350710216
"Bus Stop (52.4049759, 4.910043)","Metro/Tram Stop (52.2745937, 4.8307936)",853.4084183121225
"Bus Stop (52.4078881, 4.9138446)","Metro/Tram Stop (52.2745937, 4.8307936)",699.3602794914121
"Bus Stop (52.3694461, 4.8383423)","Metro/Tram Stop (52.2745937, 4.8307936)",24.361162416048455
"Bus Stop (52.3874008, 4.9110766)","Metro/Tram Stop (52.2745937, 4.8307936)",414.8834903551398
"Bus Stop (52.343414, 4.8279348)","Metro/Tram Stop (52.2745937, 4.8307936)",429.01653960770557
"Bus Stop (52.3888852, 4.9248606)","Metro/Tram Stop (52.2745937, 4.8307936)",108.08192934201692
"Bus Stop (52.4078927, 4.9135655)","Metro/Tram Stop (52.2745937, 4.8307936)",715.8125684671694
"Bus Stop (52.3696195, 4.8380358)","Metro/Tram Stop (52.2745937, 4.8307936)",11.887098268425193
"Bus Stop (52.3850591, 4.9176193)","Metro/Tram Stop (52.2745937, 4.8307936)",433.35934751980625
"Bus Stop (52.3859979, 4.9209431)","Metro/Tram Stop (52.2745937, 4.8307936)",358.8306742020771
"Bus Stop (52.4039197, 4.9290966)","Metro/Tram Stop (52.2745937, 4.8307936)",261.2797034090134
"Bus Stop (52.3878209, 4.9134708)","Metro/Tram Stop (52.2745937, 4.8307936)",372.69607464240374
"Bus Stop (52.3771549, 4.862919)","Metro/Tram Stop (52.2745937, 4.8307936)",259.5456008238039
"Bus Stop (52.3752613, 4.870595)","Metro/Tram Stop (52.2745937, 4.8307936)",161.38922472822176
"Bus Stop (52.4044254, 4.7588078)","Metro/Tram Stop (52.2745937, 4.8307936)",2452.536935388499
"Bus Stop (52.3946693, 4.8087242)","Metro/Tram Stop (52.2745937, 4.8307936)",1438.8122210258957
"Bus Stop (52.3901959, 4.8269676)","Metro/Tram Stop (52.2745937, 4.8307936)",572.6627705099738
"Bus Stop (52.3750821, 4.8708319)","Metro/Tram Stop (52.2745937, 4.8307936)",139.16553109892763
"Bus Stop (52.4069521, 4.7522911)","Metro/Tram Stop (52.2745937, 4.8307936)",2909.6209451520613
"Bus Stop (52.3979744, 4.7776807)","Metro/Tram Stop (52.2745937, 4.8307936)",1370.886432353385
"Bus Stop (52.3902555, 4.8201059)","Metro/Tram Stop (52.2745937, 4.8307936)",997.999771365908
"Bus Stop (52.3902003, 4.8331223)","Metro/Tram Stop (52.2745937, 4.8307936)",287.9089620386743
"Bus Stop (52.3810173, 4.8552586)","Metro/Tram Stop (52.2745937, 4.8307936)",57.09040327516224
"Bus Stop (52.4049341, 4.759324)","Metro/Tram Stop (52.2745937, 4.8307936)",2418.064322765548
"Bus Stop (52.3975549, 4.7952342)","Metro/Tram Stop (52.2745937, 4.8307936)",764.5540485549154
"Bus Stop (52.3900862, 4.8279674)","Metro/Tram Stop (52.2745937, 4.8307936)",507.5782287622993
"Bus Stop (52.3816444, 4.8588001)","Metro/Tram Stop (52.2745937, 4.8307936)",293.48467850221346
"Bus Stop (52.4076552, 4.7499243)","Metro/Tram Stop (52.2745937, 4.8307936)",3078.11606917602
"Bus Stop (52.3973318, 4.7790374)","Metro/Tram Stop (52.2745937, 4.8307936)",1334.1077446032643
