Bus Stop,Nearest Metro/Tram Stop,Distance (meters)
"Bus Stop (12.94354398, 77.62261833)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96569198, 77.49650545)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98499048, 77.62215304)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.99704329, 77.61313925)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.01046899, 77.59392217)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.02364609, 77.55253894)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.01994612, 77.55146747)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (13.01055212, 77.52173432)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.96544056, 77.56132122)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98803125, 77.66256213)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98612517, 77.68639224)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.9834428, 77.60451378)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98146985, 77.58504961)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.98471638, 77.5848384)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.97734063, 77.53096634)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.95791091, 77.53637659)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.86177108, 77.55586879)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92926536, 77.48624406)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.94496448, 77.49048276)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92965674, 77.5437418)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.92331539, 77.5456056)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.91243577, 77.54766098)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.9182846, 77.5576399)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.90833138, 77.56619574)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.89735561, 77.57986829)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.87005195, 77.60156129)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.88471989, 77.60992232)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
"Bus Stop (12.88979942, 77.63860724)","Metro/Tram Stop (12.980531, 77.7088952)",0.0
